Amp1      ,Amp2      ,P1             ,Phi1      ,Phi2      ,Trend               ,Quad                ,Offset    ,Scale     ,OffDrop   ,AmpInc    ,OffNSop   ,Lower     
fuv1=[ 0.25065  , 0.14099  ,  3.3401e+07   , 0.61553  , 1.38652  ,  2.624058808e-08   ,  6.156190523e-16   , -0.47483 ,   0.17734,   0.32278,  12.13664,   1.15039,    1.2698]
fuv2=[ 0.28992  , 0.20655  ,  3.2103e+07   , 0.41275  , 1.00176  ,  2.625894481e-08   ,  4.630312865e-16   , -0.47142 ,   0.22705,   0.27308,   5.38824,   1.08879,   0.81092]
fuv3=[ 1.67424  , 1.65117  ,  3.1649e+07   , 0.33658  , 0.88688  ,  2.659410868e-08   ,  1.263637539e-15   , -0.69274 ,   0.07472,   0.19852,   0.89014,   1.64039,   0.95801]
fuv4=[ 0.34042  , 0.23001  ,  3.2496e+07   , 0.50062  , 1.12074  ,  1.469277133e-08   ,  1.068164850e-15   , -0.44696 ,   0.09402,   0.26570,   9.53906,   1.38498,    1.1389]
nuv1=[ 0.59918  , 0.56928  ,  3.1675e+07   , 0.32867  , -0.09294 ,  4.903074454e-09   ,  2.112554211e-16   , -0.22822 ,   0.12932,   0.36006,   0.54863,   0.47091,   0.18317]
nuv2=[ 0.73488  , 0.69031  ,  3.1663e+07   , 0.32643  , 0.89621  ,  3.514519585e-09   ,  2.884418460e-16   , -0.22688 ,   0.11208,   0.32913,   0.54392,   0.37556,   0.26396]
nuv3=[ 0.27966  , 0.24849  ,  3.1717e+07   , 0.34492  , 0.91283  ,  9.371720598e-09   ,  3.799436570e-16   , -0.10883 ,   0.14471,   0.14948,   1.20100,   0.45288,   0.40911]
nuv4=[ 0.46405  , 0.45452  ,  3.1703e+07   , 0.34254  , 0.91709  ,  8.297830208e-09   ,  3.562113279e-16   , -0.25628 ,   0.15220,   0.18943,   0.56580,   0.33249,   0.33686]
