Amp1      ,Amp2      ,P1             ,Phi1      ,Phi2      ,Trend               ,Quad                ,Offset    ,Scale     ,OffDrop   ,AmpInc    ,OffNSop   ,Lower     
fuv1=[ 0.24121  , 0.15556  ,  3.2586e+07   , 0.53606  , 1.22487  ,  2.801770997e-08   ,  5.718332740e-16   , -0.57754 ,   0.32976,   0.37435,   6.90199,   0.07666,   0.67487]
fuv2=[ 0.30081  , 0.23880  ,  3.1702e+07   , 0.38987  , 0.90902  ,  2.798688854e-08   ,  4.170061842e-16   , -0.55932 ,   0.42617,   0.43774,   3.78683,  -0.01113,   0.46792]
fuv3=[ 1.71231  , 1.63411  ,  3.1566e+07   , 0.33693  , 0.87369  ,  2.957791973e-08   ,  1.188807332e-15   , -0.84403 ,   0.21191,   0.34711,   0.99690,  -0.29956,    0.7293]
fuv4=[ 0.34186  , 0.24860  ,  3.1947e+07   , 0.46450  , 0.99675  ,  1.748047695e-08   ,  9.931580583e-16   , -0.56400 ,   0.21908,   0.29772,   6.59867,   0.04112,   0.61661]
nuv1=[ 0.60535  , 0.56951  ,  3.1615e+07   , 0.32331  , -0.10555 ,  4.895461962e-09   ,  2.067470514e-16   , -0.22619 ,   0.18520,   0.46878,   0.57549,   0.33569,   0.10528]
nuv2=[ 0.74987  , 0.69596  ,  3.1648e+07   , 0.32466  , 0.89372  ,  3.543159351e-09   ,  2.895804489e-16   , -0.23113 ,   0.10722,   0.34553,   0.55866,   0.36936,   0.18663]
nuv3=[ 0.27583  , 0.25515  ,  3.1522e+07   , 0.33519  , 0.88137  ,  9.563873854e-09   ,  3.518346703e-16   , -0.11275 ,   0.33053,   0.33104,   0.92596,  -0.20349,   0.23798]
nuv4=[ 0.46377  , 0.45737  ,  3.1629e+07   , 0.33878  , 0.90194  ,  8.589246538e-09   ,  3.330146439e-16   , -0.26890 ,   0.27460,   0.32587,   0.50990,  -0.06515,   0.26014]
