Amp1      ,Amp2      ,P1             ,Phi1      ,Phi2      ,Trend               ,Quad                ,Offset    ,Scale     ,OffDrop   ,AmpInc    ,OffNSop   ,Lower             
fuv1=[ 0.19558  , 0.12712  ,  3.2311e+07   , 0.50261  , 1.11078  ,  2.735379656e-08   ,  6.220927142e-16   , -0.55024 ,   0.13202,   0.17022,  12.66423,   1.59281, 0.67487  ]
fuv2=[ 0.26618  , 0.23390  ,  3.1800e+07   , 0.39819  , 0.92197  ,  2.675696634e-08   ,  4.677465979e-16   , -0.48893 ,   0.18394,   0.14506,   3.85901,   1.42579, 0.46792  ]
fuv3=[ 1.66232  , 1.64090  ,  3.1625e+07   , 0.34022  , 0.88080  ,  2.686365601e-08   ,  1.274132917e-15   , -0.71285 ,   0.05733,   0.18035,   0.98069,   1.98472,  0.7293  ]
fuv4=[ 0.32527  , 0.24580  ,  3.2127e+07   , 0.46622  , 1.02618  ,  1.481538540e-08   ,  1.078909025e-15   , -0.44590 ,   0.06972,   0.18831,   7.88246,   1.75345, 0.61661  ]
nuv1=[ 0.59564  , 0.56807  ,  3.1648e+07   , 0.32951  , -0.09999 ,  4.955533291e-09   ,  2.128058178e-16   , -0.23383 ,   0.10147,   0.31489,   0.59089,   0.54497, 0.10528  ]
nuv2=[ 0.73066  , 0.69590  ,  3.1637e+07   , 0.32599  , 0.89012  ,  3.595992386e-09   ,  2.904600543e-16   , -0.23044 ,   0.09162,   0.28383,   0.54390,   0.44284, 0.18663  ]
nuv3=[ 0.27819  , 0.24401  ,  3.1634e+07   , 0.34827  , 0.88583  ,  9.349879026e-09   ,  3.898948800e-16   , -0.10490 ,   0.10903,   0.11569,   1.55508,   0.62288, 0.23798  ]
nuv4=[ 0.45866  , 0.45042  ,  3.1649e+07   , 0.34282  , 0.90130  ,  8.468853620e-09   ,  3.593957898e-16   , -0.26213 ,   0.12187,   0.15326,   0.66889,   0.46980, 0.26014  ]
