#2019/08 Number Pass = 76 (100.000%)
                               file                  time    pass    total5   exptime
            NUV20190807_122354.fits   2019/08/07T12:23:54       1        44      0.05
            NUV20190807_122404.fits   2019/08/07T12:24:04       1        50      1.02
            NUV20190807_122422.fits   2019/08/07T12:24:22       1        75      5.02
            NUV20190807_122509.fits   2019/08/07T12:25:09       1        41     30.02
            NUV20190807_122859.fits   2019/08/07T12:28:59       1        97      0.11
            NUV20190807_122906.fits   2019/08/07T12:29:06       1        92      1.04
            NUV20190807_122921.fits   2019/08/07T12:29:21       1       107      5.02
            NUV20190807_123009.fits   2019/08/07T12:30:09       1        48     30.02
            NUV20190807_123354.fits   2019/08/07T12:33:54       1        36      0.05
            NUV20190807_123407.fits   2019/08/07T12:34:07       1       100      1.04
            NUV20190807_123422.fits   2019/08/07T12:34:22       1       117      5.02
            NUV20190807_123509.fits   2019/08/07T12:35:09       1        58     30.02
            NUV20190807_123853.fits   2019/08/07T12:38:53       1        46      0.05
            NUV20190807_123907.fits   2019/08/07T12:39:07       1       107      1.02
            NUV20190807_123923.fits   2019/08/07T12:39:23       1       103      5.02
            NUV20190807_124009.fits   2019/08/07T12:40:09       1        72     30.02
            NUV20190807_124353.fits   2019/08/07T12:43:53       1        54      0.05
            NUV20190807_124406.fits   2019/08/07T12:44:06       1       136      1.04
            NUV20190807_124422.fits   2019/08/07T12:44:22       1       107      5.02
            NUV20190807_124509.fits   2019/08/07T12:45:09       1        64     30.02
            NUV20190807_124854.fits   2019/08/07T12:48:54       1         9      0.05
            NUV20190807_124906.fits   2019/08/07T12:49:06       1        66      1.05
            NUV20190807_124923.fits   2019/08/07T12:49:23       1        40      5.02
            NUV20190807_125009.fits   2019/08/07T12:50:09       1        35     30.02
            NUV20190807_125354.fits   2019/08/07T12:53:54       1        33      0.05
            NUV20190807_125406.fits   2019/08/07T12:54:06       1        18      1.04
            NUV20190807_125421.fits   2019/08/07T12:54:21       1        45      5.02
            NUV20190807_125500.fits   2019/08/07T12:55:00       1        60     30.02
            NUV20190807_125854.fits   2019/08/07T12:58:54       1        20      0.05
            NUV20190807_125907.fits   2019/08/07T12:59:07       1        33      1.02
            NUV20190807_125921.fits   2019/08/07T12:59:21       1        50      5.02
            NUV20190807_130009.fits   2019/08/07T13:00:09       1        43     30.02
            NUV20190807_130354.fits   2019/08/07T13:03:54       1        16      0.05
            NUV20190807_130406.fits   2019/08/07T13:04:06       1        17      1.04
            NUV20190807_130421.fits   2019/08/07T13:04:21       1        42      5.02
            NUV20190807_130502.fits   2019/08/07T13:05:02       1        46     30.02
            NUV20190807_130853.fits   2019/08/07T13:08:53       1         6      0.05
            NUV20190807_130907.fits   2019/08/07T13:09:07       1        46      1.04
            NUV20190807_130923.fits   2019/08/07T13:09:23       1        38      5.02
            NUV20190807_131009.fits   2019/08/07T13:10:09       1        32     30.02
            NUV20190807_131353.fits   2019/08/07T13:13:53       1        30      0.05
            NUV20190807_131405.fits   2019/08/07T13:14:05       1        39      1.04
            NUV20190807_131421.fits   2019/08/07T13:14:21       1        70      5.02
            NUV20190807_131500.fits   2019/08/07T13:15:00       1        50     30.02
            NUV20190807_131850.fits   2019/08/07T13:18:50       1        48      0.11
            NUV20190807_131907.fits   2019/08/07T13:19:07       1        63      1.03
            NUV20190807_131922.fits   2019/08/07T13:19:22       1        75      5.02
            NUV20190807_132000.fits   2019/08/07T13:20:00       1        60     30.02
            NUV20190807_132354.fits   2019/08/07T13:23:54       1        39      0.05
            NUV20190807_132405.fits   2019/08/07T13:24:05       1       145      1.03
            NUV20190807_132422.fits   2019/08/07T13:24:22       1        77      5.02
            NUV20190807_132500.fits   2019/08/07T13:25:00       1        48     30.02
            NUV20190807_132850.fits   2019/08/07T13:28:50       1        47      0.10
            NUV20190807_132909.fits   2019/08/07T13:29:09       1       106      1.05
            NUV20190807_132922.fits   2019/08/07T13:29:22       1        79      5.02
            NUV20190807_133003.fits   2019/08/07T13:30:03       1        29     30.02
            NUV20190807_133354.fits   2019/08/07T13:33:54       1        41      0.05
            NUV20190807_133406.fits   2019/08/07T13:34:06       1       115      1.05
            NUV20190807_133421.fits   2019/08/07T13:34:21       1        89      5.02
            NUV20190807_133509.fits   2019/08/07T13:35:09       1        31     30.02
            NUV20190807_133853.fits   2019/08/07T13:38:53       1        10      0.05
            NUV20190807_133906.fits   2019/08/07T13:39:06       1        39      1.04
            NUV20190807_133921.fits   2019/08/07T13:39:21       1        51      5.02
            NUV20190807_134000.fits   2019/08/07T13:40:00       1        58     30.02
            NUV20190807_134353.fits   2019/08/07T13:43:53       1         9      0.05
            NUV20190807_134403.fits   2019/08/07T13:44:03       1        18      1.02
            NUV20190807_134422.fits   2019/08/07T13:44:22       1        45      5.02
            NUV20190807_134509.fits   2019/08/07T13:45:09       1        51     30.02
            NUV20190807_134854.fits   2019/08/07T13:48:54       1         5      0.05
            NUV20190807_134907.fits   2019/08/07T13:49:07       1        14      1.05
            NUV20190807_134921.fits   2019/08/07T13:49:21       1        32      5.02
            NUV20190807_135009.fits   2019/08/07T13:50:09       1        53     30.02
            NUV20190807_135354.fits   2019/08/07T13:53:54       1         7      0.05
            NUV20190807_135407.fits   2019/08/07T13:54:07       1        34      1.05
            NUV20190807_135421.fits   2019/08/07T13:54:21       1        41      5.02
            NUV20190807_135500.fits   2019/08/07T13:55:00       1        70     30.02
