#2022/07 Number Pass = 75 (100.000%)
                               file                  time    pass    total5   exptime
            FUV20220707_013508.fits   2022/07/07T01:35:08       1         6      0.19
            FUV20220707_013512.fits   2022/07/07T01:35:12       1        61      1.03
            FUV20220707_013539.fits   2022/07/07T01:35:39       1       100      5.02
            FUV20220707_013647.fits   2022/07/07T01:36:47       1       110     30.02
            FUV20220707_014011.fits   2022/07/07T01:40:11       1        28      1.02
            FUV20220707_014039.fits   2022/07/07T01:40:39       1        92      5.02
            FUV20220707_014148.fits   2022/07/07T01:41:48       1       107     30.02
            FUV20220707_014504.fits   2022/07/07T01:45:04       1        31      0.13
            FUV20220707_014510.fits   2022/07/07T01:45:10       1        65      1.02
            FUV20220707_014539.fits   2022/07/07T01:45:39       1        77      5.02
            FUV20220707_014646.fits   2022/07/07T01:46:46       1        54     30.02
            FUV20220707_015001.fits   2022/07/07T01:50:01       1        55      0.13
            FUV20220707_015012.fits   2022/07/07T01:50:12       1        90      1.02
            FUV20220707_015039.fits   2022/07/07T01:50:39       1       101      5.02
            FUV20220707_015145.fits   2022/07/07T01:51:45       1        70     30.02
            FUV20220707_015503.fits   2022/07/07T01:55:03       1        29      0.13
            FUV20220707_015511.fits   2022/07/07T01:55:11       1        71      1.02
            FUV20220707_015539.fits   2022/07/07T01:55:39       1       108      5.02
            FUV20220707_015648.fits   2022/07/07T01:56:48       1        64     30.02
            FUV20220707_020002.fits   2022/07/07T02:00:02       1        45      0.13
            FUV20220707_020011.fits   2022/07/07T02:00:11       1       144      1.02
            FUV20220707_020039.fits   2022/07/07T02:00:39       1       132      5.02
            FUV20220707_020147.fits   2022/07/07T02:01:47       1        60     30.02
            FUV20220707_020504.fits   2022/07/07T02:05:04       1        59      0.13
            FUV20220707_020510.fits   2022/07/07T02:05:10       1       104      1.02
            FUV20220707_020539.fits   2022/07/07T02:05:39       1       123      5.02
            FUV20220707_020647.fits   2022/07/07T02:06:47       1       102     30.02
            FUV20220707_021001.fits   2022/07/07T02:10:01       1        34      0.13
            FUV20220707_021011.fits   2022/07/07T02:10:11       1        51      1.02
            FUV20220707_021039.fits   2022/07/07T02:10:39       1        67      5.02
            FUV20220707_021147.fits   2022/07/07T02:11:47       1        83     30.02
            FUV20220707_021504.fits   2022/07/07T02:15:04       1        29      0.13
            FUV20220707_021510.fits   2022/07/07T02:15:10       1        35      1.02
            FUV20220707_021538.fits   2022/07/07T02:15:38       1       100      5.02
            FUV20220707_021648.fits   2022/07/07T02:16:48       1       111     30.02
            FUV20220707_022001.fits   2022/07/07T02:20:01       1         4      0.13
            FUV20220707_022010.fits   2022/07/07T02:20:10       1        31      1.02
            FUV20220707_022038.fits   2022/07/07T02:20:38       1       112      5.02
            FUV20220707_022145.fits   2022/07/07T02:21:45       1       116     30.02
            FUV20220707_022501.fits   2022/07/07T02:25:01       1         7      0.13
            FUV20220707_022510.fits   2022/07/07T02:25:10       1        56      1.02
            FUV20220707_022539.fits   2022/07/07T02:25:39       1       111      5.02
            FUV20220707_022647.fits   2022/07/07T02:26:47       1       129     30.02
            FUV20220707_023002.fits   2022/07/07T02:30:02       1        18      0.13
            FUV20220707_023010.fits   2022/07/07T02:30:10       1        56      1.02
            FUV20220707_023039.fits   2022/07/07T02:30:39       1       151      5.02
            FUV20220707_023147.fits   2022/07/07T02:31:47       1        77     30.02
            FUV20220707_023501.fits   2022/07/07T02:35:01       1        15      0.13
            FUV20220707_023511.fits   2022/07/07T02:35:11       1       115      1.02
            FUV20220707_023538.fits   2022/07/07T02:35:38       1        74      5.02
            FUV20220707_023647.fits   2022/07/07T02:36:47       1        54     30.02
            FUV20220707_024003.fits   2022/07/07T02:40:03       1        28      0.13
            FUV20220707_024011.fits   2022/07/07T02:40:11       1       161      1.02
            FUV20220707_024039.fits   2022/07/07T02:40:39       1       108      5.02
            FUV20220707_024146.fits   2022/07/07T02:41:46       1        87     30.02
            FUV20220707_024505.fits   2022/07/07T02:45:05       1        27      0.13
            FUV20220707_024511.fits   2022/07/07T02:45:11       1       123      1.02
            FUV20220707_024539.fits   2022/07/07T02:45:39       1       139      5.02
            FUV20220707_024645.fits   2022/07/07T02:46:45       1       101     30.02
            FUV20220707_025002.fits   2022/07/07T02:50:02       1       146      0.13
            FUV20220707_025011.fits   2022/07/07T02:50:11       1       118      1.02
            FUV20220707_025039.fits   2022/07/07T02:50:39       1       129      5.02
            FUV20220707_025147.fits   2022/07/07T02:51:47       1        75     30.02
            FUV20220707_025503.fits   2022/07/07T02:55:03       1        34      0.13
            FUV20220707_025510.fits   2022/07/07T02:55:10       1       146      1.02
            FUV20220707_025539.fits   2022/07/07T02:55:39       1       147      5.02
            FUV20220707_025647.fits   2022/07/07T02:56:47       1       107     30.02
            FUV20220707_030001.fits   2022/07/07T03:00:01       1        64      0.13
            FUV20220707_030010.fits   2022/07/07T03:00:10       1        83      1.02
            FUV20220707_030039.fits   2022/07/07T03:00:39       1       139      5.02
            FUV20220707_030148.fits   2022/07/07T03:01:48       1        99     30.02
            FUV20220707_030503.fits   2022/07/07T03:05:03       1        10      0.13
            FUV20220707_030512.fits   2022/07/07T03:05:12       1        44      1.02
            FUV20220707_030539.fits   2022/07/07T03:05:39       1       125      5.02
            FUV20220707_030646.fits   2022/07/07T03:06:46       1       118     30.02
