#2022/09 Number Pass = 75 (98.6842%)
                               file                  time    pass    total5   exptime
            FUV20220929_013855.fits   2022/09/29T01:38:55       1         7      0.13
            FUV20220929_013903.fits   2022/09/29T01:39:03       1        36      1.02
            FUV20220929_013932.fits   2022/09/29T01:39:32       1        91      5.02
            FUV20220929_014040.fits   2022/09/29T01:40:40       1        82     30.02
            FUV20220929_014357.fits   2022/09/29T01:43:57       1        20      0.13
            FUV20220929_014403.fits   2022/09/29T01:44:03       1       120      1.02
            FUV20220929_014432.fits   2022/09/29T01:44:32       1        77      5.02
            FUV20220929_014549.fits   2022/09/29T01:45:49       1       101     30.02
            FUV20220929_014854.fits   2022/09/29T01:48:54       1         4      0.13
            FUV20220929_014904.fits   2022/09/29T01:49:04       1        33      1.02
            FUV20220929_014931.fits   2022/09/29T01:49:31       0         0      5.02
            FUV20220929_015049.fits   2022/09/29T01:50:49       1       109     30.02
            FUV20220929_015354.fits   2022/09/29T01:53:54       1        13      0.13
            FUV20220929_015403.fits   2022/09/29T01:54:03       1        31      1.02
            FUV20220929_015432.fits   2022/09/29T01:54:32       1        88      5.02
            FUV20220929_015549.fits   2022/09/29T01:55:49       1       102     30.02
            FUV20220929_015857.fits   2022/09/29T01:58:57       1        19      0.13
            FUV20220929_015904.fits   2022/09/29T01:59:04       1        67      1.02
            FUV20220929_015931.fits   2022/09/29T01:59:31       1        97      5.02
            FUV20220929_020041.fits   2022/09/29T02:00:41       1        61     30.02
            FUV20220929_020354.fits   2022/09/29T02:03:54       1        75      0.13
            FUV20220929_020404.fits   2022/09/29T02:04:04       1        42      1.02
            FUV20220929_020431.fits   2022/09/29T02:04:31       1       120      5.02
            FUV20220929_020549.fits   2022/09/29T02:05:49       1        80     30.02
            FUV20220929_020857.fits   2022/09/29T02:08:57       1        26      0.13
            FUV20220929_020904.fits   2022/09/29T02:09:04       1        90      1.02
            FUV20220929_020932.fits   2022/09/29T02:09:32       1        98      5.02
            FUV20220929_021040.fits   2022/09/29T02:10:40       1        89     30.02
            FUV20220929_021355.fits   2022/09/29T02:13:55       1        18      0.14
            FUV20220929_021405.fits   2022/09/29T02:14:05       1       106      1.02
            FUV20220929_021432.fits   2022/09/29T02:14:32       1        91      5.02
            FUV20220929_021549.fits   2022/09/29T02:15:49       1        57     30.02
            FUV20220929_021854.fits   2022/09/29T02:18:54       1        96      0.13
            FUV20220929_021903.fits   2022/09/29T02:19:03       1        88      1.02
            FUV20220929_021932.fits   2022/09/29T02:19:32       1       105      5.02
            FUV20220929_022040.fits   2022/09/29T02:20:40       1        90     30.02
            FUV20220929_022355.fits   2022/09/29T02:23:55       1        15      0.13
            FUV20220929_022403.fits   2022/09/29T02:24:03       1       143      1.02
            FUV20220929_022432.fits   2022/09/29T02:24:32       1       103      5.02
            FUV20220929_022541.fits   2022/09/29T02:25:41       1        80     30.02
            FUV20220929_022855.fits   2022/09/29T02:28:55       1        17      0.13
            FUV20220929_022904.fits   2022/09/29T02:29:04       1        27      1.02
            FUV20220929_022931.fits   2022/09/29T02:29:31       1        89      5.02
            FUV20220929_023049.fits   2022/09/29T02:30:49       1        92     30.02
            FUV20220929_023356.fits   2022/09/29T02:33:56       1         5      0.13
            FUV20220929_023405.fits   2022/09/29T02:34:05       1        25      1.02
            FUV20220929_023432.fits   2022/09/29T02:34:32       1        97      5.02
            FUV20220929_023541.fits   2022/09/29T02:35:41       1        94     30.02
            FUV20220929_023858.fits   2022/09/29T02:38:58       1         7      0.13
            FUV20220929_023905.fits   2022/09/29T02:39:05       1        29      1.02
            FUV20220929_023932.fits   2022/09/29T02:39:32       1        85      5.02
            FUV20220929_024049.fits   2022/09/29T02:40:49       1        86     30.02
            FUV20220929_024354.fits   2022/09/29T02:43:54       1         7      0.13
            FUV20220929_024404.fits   2022/09/29T02:44:04       1        68      1.02
            FUV20220929_024432.fits   2022/09/29T02:44:32       1        88      5.02
            FUV20220929_024549.fits   2022/09/29T02:45:49       1        55     30.02
            FUV20220929_024856.fits   2022/09/29T02:48:56       1         7      0.14
            FUV20220929_024905.fits   2022/09/29T02:49:05       1        93      1.02
            FUV20220929_024932.fits   2022/09/29T02:49:32       1        91      5.02
            FUV20220929_025049.fits   2022/09/29T02:50:49       1        83     30.02
            FUV20220929_025354.fits   2022/09/29T02:53:54       1        28      0.13
            FUV20220929_025404.fits   2022/09/29T02:54:04       1       139      1.02
            FUV20220929_025431.fits   2022/09/29T02:54:31       1       114      5.02
            FUV20220929_025549.fits   2022/09/29T02:55:49       1       101     30.02
            FUV20220929_025855.fits   2022/09/29T02:58:55       1        31      0.13
            FUV20220929_025903.fits   2022/09/29T02:59:03       1       101      1.02
            FUV20220929_025931.fits   2022/09/29T02:59:31       1        82      5.02
            FUV20220929_030049.fits   2022/09/29T03:00:49       1        76     30.02
            FUV20220929_030355.fits   2022/09/29T03:03:55       1        37      0.13
            FUV20220929_030404.fits   2022/09/29T03:04:04       1        74      1.02
            FUV20220929_030431.fits   2022/09/29T03:04:31       1        90      5.02
            FUV20220929_030549.fits   2022/09/29T03:05:49       1        74     30.02
            FUV20220929_030855.fits   2022/09/29T03:08:55       1        47      0.13
            FUV20220929_030903.fits   2022/09/29T03:09:03       1       120      1.02
            FUV20220929_030931.fits   2022/09/29T03:09:31       1        90      5.02
            FUV20220929_031049.fits   2022/09/29T03:10:49       1        91     30.02
