#2021/08 Number Pass = 75 (98.6842%)
                               file                  time    pass    total5   exptime
            NUV20210805_000953.fits   2021/08/05T00:09:53       1        11      0.05
            NUV20210805_001003.fits   2021/08/05T00:10:03       1        50      1.02
            NUV20210805_001012.fits   2021/08/05T00:10:12       1        46      5.02
            NUV20210805_001100.fits   2021/08/05T00:11:00       1        52     30.02
            NUV20210805_001456.fits   2021/08/05T00:14:56       1        25      0.06
            NUV20210805_001504.fits   2021/08/05T00:15:04       1        98      1.02
            NUV20210805_001510.fits   2021/08/05T00:15:10       1        90      5.02
            NUV20210805_001600.fits   2021/08/05T00:16:00       1        25     30.02
            NUV20210805_001956.fits   2021/08/05T00:19:56       1       102      0.05
            NUV20210805_002007.fits   2021/08/05T00:20:07       1        78      1.05
            NUV20210805_002011.fits   2021/08/05T00:20:11       1        95      5.02
            NUV20210805_002109.fits   2021/08/05T00:21:09       1        85     30.02
            NUV20210805_002454.fits   2021/08/05T00:24:54       1        51      0.05
            NUV20210805_002505.fits   2021/08/05T00:25:05       1       140      1.03
            NUV20210805_002510.fits   2021/08/05T00:25:10       1        96      5.02
            NUV20210805_002601.fits   2021/08/05T00:26:01       1        49     30.02
            NUV20210805_002957.fits   2021/08/05T00:29:57       1        43      0.06
            NUV20210805_003004.fits   2021/08/05T00:30:04       1        54      1.04
            NUV20210805_003011.fits   2021/08/05T00:30:11       1        84      5.02
            NUV20210805_003109.fits   2021/08/05T00:31:09       1        56     30.02
            NUV20210805_003456.fits   2021/08/05T00:34:56       1        17      0.05
            NUV20210805_003507.fits   2021/08/05T00:35:07       1        80      1.05
            NUV20210805_003511.fits   2021/08/05T00:35:11       1        70      5.02
            NUV20210805_003600.fits   2021/08/05T00:36:00       1        74     30.02
            NUV20210805_003953.fits   2021/08/05T00:39:53       1         7      0.05
            NUV20210805_004007.fits   2021/08/05T00:40:07       1        32      1.04
            NUV20210805_004011.fits   2021/08/05T00:40:11       1        48      5.02
            NUV20210805_004101.fits   2021/08/05T00:41:01       1        69     30.02
            NUV20210805_004459.fits   2021/08/05T00:44:59       1        12      0.11
            NUV20210805_004507.fits   2021/08/05T00:45:07       1        23      1.05
            NUV20210805_004512.fits   2021/08/05T00:45:12       1        71      5.02
            NUV20210805_004609.fits   2021/08/05T00:46:09       1        89     30.02
            NUV20210805_004956.fits   2021/08/05T00:49:56       1         4      0.05
            NUV20210805_005006.fits   2021/08/05T00:50:06       1        21      1.05
            NUV20210805_005011.fits   2021/08/05T00:50:11       1        60      5.02
            NUV20210805_005101.fits   2021/08/05T00:51:01       1        88     30.02
            NUV20210805_005457.fits   2021/08/05T00:54:57       1         5      0.06
            NUV20210805_005507.fits   2021/08/05T00:55:07       1        61      1.04
            NUV20210805_005511.fits   2021/08/05T00:55:11       1        55      5.02
            NUV20210805_005600.fits   2021/08/05T00:56:00       1        44     30.02
            NUV20210805_005953.fits   2021/08/05T00:59:53       1        24      0.05
            NUV20210805_010006.fits   2021/08/05T01:00:06       1        42      1.02
            NUV20210805_010010.fits   2021/08/05T01:00:10       1        90      5.02
            NUV20210805_010108.fits   2021/08/05T01:01:08       1        48     30.02
            NUV20210805_010453.fits   2021/08/05T01:04:53       1        16      0.05
            NUV20210805_010506.fits   2021/08/05T01:05:06       1        90      1.02
            NUV20210805_010510.fits   2021/08/05T01:05:10       1        85      5.02
            NUV20210805_010601.fits   2021/08/05T01:06:01       1        60     30.02
            NUV20210805_010959.fits   2021/08/05T01:09:59       1        44      0.10
            NUV20210805_011008.fits   2021/08/05T01:10:08       1        88      1.04
            NUV20210805_011011.fits   2021/08/05T01:10:11       1        87      5.02
            NUV20210805_011100.fits   2021/08/05T01:11:00       1        61     30.02
            NUV20210805_011456.fits   2021/08/05T01:14:56       1        32      0.08
            NUV20210805_011505.fits   2021/08/05T01:15:05       1       139      1.02
            NUV20210805_011511.fits   2021/08/05T01:15:11       1        88      5.02
            NUV20210805_011600.fits   2021/08/05T01:16:00       1        37     30.02
            NUV20210805_011956.fits   2021/08/05T01:19:56       1        64      0.08
            NUV20210805_012005.fits   2021/08/05T01:20:05       1       115      1.04
            NUV20210805_012012.fits   2021/08/05T01:20:12       1        64      5.02
            NUV20210805_012109.fits   2021/08/05T01:21:09       1        66     30.02
            NUV20210805_012450.fits   2021/08/05T01:24:50       1        20      0.09
            NUV20210805_012509.fits   2021/08/05T01:25:09       1        84      1.05
            NUV20210805_012510.fits   2021/08/05T01:25:10       1        85      5.02
            NUV20210805_012609.fits   2021/08/05T01:26:09       1        82     30.02
            NUV20210805_012954.fits   2021/08/05T01:29:54       1         8      0.05
            NUV20210805_013004.fits   2021/08/05T01:30:04       1        55      1.04
            NUV20210805_013010.fits   2021/08/05T01:30:10       1        51      5.02
            NUV20210805_013108.fits   2021/08/05T01:31:08       1        74     30.02
            NUV20210805_013456.fits   2021/08/05T01:34:56       1         7      0.05
            NUV20210805_013504.fits   2021/08/05T01:35:04       1        34      1.02
            NUV20210805_013512.fits   2021/08/05T01:35:12       1        61      5.02
            NUV20210805_013600.fits   2021/08/05T01:36:00       1        84     30.02
            NUV20210805_013956.fits   2021/08/05T01:39:56       0         5      0.05
            NUV20210805_014005.fits   2021/08/05T01:40:05       1        30      1.05
            NUV20210805_014010.fits   2021/08/05T01:40:10       1        60      5.02
            NUV20210805_014100.fits   2021/08/05T01:41:00       1        91     30.02
