      Amp1      ,Amp2      ,P1             ,Phi1      ,Phi2      ,Lin               ,Quad                ,Offset    
fuv1=[ 0.09694  , 0.21753  ,  2.9936e+07   , 0.07824  , 0.06349  ,  3.085653174e-28   ,  1.525218636e-19   , 11.35675 ]
fuv2=[ 0.23372  , 0.28808  ,  3.0710e+07   , 0.13176  , 0.42573  ,  3.459347456e-28   ,  1.654071242e-19   , 10.48543 ]
fuv3=[ 1.71215  , 2.03107  ,  3.0976e+07   , 0.16851  , 0.56506  ,  3.009511127e-10   ,  -3.554634104e-18  , 14.99669 ]
fuv4=[ 0.20105  , 0.31999  ,  2.9871e+07   , -0.10259 , -0.02492 ,  1.380340229e-11   ,  -4.190107715e-18  , 12.58521 ]
nuv1=[ 0.60380  , 0.61525  ,  3.0825e+07   , 0.12776  , -0.51741 ,  1.386837464e-29   ,  5.929546679e-21   , 2.31754  ]
nuv2=[ 0.72822  , 0.77593  ,  3.0860e+07   , 0.13780  , 0.49530  ,  1.669404226e-28   ,  8.101393357e-20   , 2.43615  ]
nuv3=[ 0.27805  , 0.31907  ,  3.0913e+07   , 0.16475  , 0.53237  ,  1.839560687e-29   ,  5.267296998e-21   , 4.30594  ]
nuv4=[ 0.45343  , 0.49038  ,  3.0859e+07   , 0.15163  , 0.49575  ,  2.079848910e-28   ,  1.014358772e-19   , 3.81356  ]
