      Amp1      ,Amp2      ,P1             ,Phi1      ,Phi2      ,Lin               ,Quad                ,Offset    
fuv1=[ 0.12657  , 0.22457  ,  2.9702e+07   , -0.03916 , -0.08545 ,  3.250413962e-10   ,  -1.611625494e-18  , 11.35661 ]
fuv2=[ 0.29034  , 0.29229  ,  3.0500e+07   , 0.08523  , 0.31209  ,  8.866168829e-10   ,  -4.126666799e-18  , 10.48483 ]
fuv3=[ 1.66409  , 2.03024  ,  3.0855e+07   , 0.15222  , 0.49300  ,  2.030364456e-08   ,  -8.364926755e-17  , 14.99549 ]
fuv4=[ 0.23380  , 0.31245  ,  3.0023e+07   , -0.02528 , 0.05283  ,  3.696596760e-09   ,  -1.899870450e-17  , 12.58396 ]
nuv1=[ 0.60380  , 0.61525  ,  3.0825e+07   , 0.12776  , -0.51741 ,  4.365519501e-28   ,  1.381746022e-19   , 2.31754  ]
nuv2=[ 0.69213  , 0.74576  ,  3.1342e+07   , 0.27244  , 0.74656  ,  -1.496726904e-09  ,  5.776993217e-18   , 2.43614  ]
nuv3=[ 0.28873  , 0.31987  ,  3.1396e+07   , 0.30258  , 0.78026  ,  1.615616359e-09   ,  -6.488810056e-18  , 4.30558  ]
nuv4=[ 0.45455  , 0.48908  ,  3.0980e+07   , 0.18911  , 0.55671  ,  -6.365715445e-10  ,  2.272330252e-18   , 3.81355  ]
