Amp1      ,Amp2      ,P1             ,Phi1      ,Phi2      ,Lin                 ,Quad                ,Offset    
fuv1=[ 0.11270  , 0.12196  ,  2.9715e+07   , -0.00000 , -0.15673 ,  -3.802984336e-10  ,  -2.074162011e-17  , 12.89842 ]
fuv2=[ 0.23160  , 0.26085  ,  3.0852e+07   , 0.00047  , 0.35883  ,  1.492734321e-11   ,  -3.253508431e-17  , 12.49973 ]
fuv3=[ 1.51628  , 1.55313  ,  3.0984e+07   , 0.15444  , 0.51026  ,  1.553228809e-08   ,  -1.058163234e-16  , 17.50802 ]
fuv4=[ 0.18938  , 0.26532  ,  3.0296e+07   , -0.02781 , 0.06392  ,  2.994243376e-09   ,  -2.298843244e-17  , 12.71879 ]
nuv1=[ 0.60374  , 0.61519  ,  3.1037e+07   , 0.19164  , -0.43397 ,  -4.551473749e-10  ,  1.381864698e-19   , 2.31777  ]
nuv2=[ 0.64218  , 0.65171  ,  3.1349e+07   , 0.26782  , 0.73745  ,  -9.898691283e-10  ,  3.177344676e-18   , 2.42533  ]
nuv3=[ 0.21610  , 0.25537  ,  3.1684e+07   , 0.33067  , 0.94706  ,  8.142541541e-10   ,  -1.070653659e-17  , 4.70490  ]
nuv4=[ 0.34902  , 0.36050  ,  3.1267e+07   , 0.24126  , 0.71042  ,  -1.145820997e-09  ,  1.136051513e-18   , 3.74757  ]
