Amp1      ,Amp2      ,P1             ,Phi1      ,Phi2      ,Lin                 ,Quad                ,Offset    
fuv1=[ 0.04497  , 0.21581  ,  2.9699e+07   , -0.08615 , -0.08546 ,  -6.500827924e-11  ,  -3.545576087e-18  , 11.50102 ]
fuv2=[ 0.25733  , 0.23714  ,  3.0664e+07   , 0.00043  , 0.39870  ,  1.658593686e-11   ,  -2.957734937e-17  , 12.50789 ]
fuv3=[ 1.68476  , 1.72570  ,  3.1005e+07   , 0.14040  , 0.56695  ,  1.725809788e-08   ,  -9.619665768e-17  , 16.52717 ]
fuv4=[ 0.21042  , 0.29480  ,  3.0026e+07   , -0.02528 , 0.05811  ,  3.326937084e-09   ,  -2.089857495e-17  , 12.72006 ]
nuv1=[ 0.60380  , 0.61525  ,  3.0825e+07   , 0.12776  , -0.51741 ,  4.365519501e-28   ,  1.381746022e-19   , 2.31754  ]
nuv2=[ 0.69148  , 0.72412  ,  3.1258e+07   , 0.24347  , 0.69819  ,  -1.099854576e-09  ,  2.888496609e-18   , 2.52211  ]
nuv3=[ 0.24011  , 0.28374  ,  3.1549e+07   , 0.30061  , 0.87268  ,  9.047268379e-10   ,  -9.733215084e-18  , 4.66885  ]
nuv4=[ 0.43628  , 0.45063  ,  3.1264e+07   , 0.24124  , 0.71049  ,  -9.548573167e-10  ,  1.136165126e-18   , 3.92790  ]
