                  Amp1      ,Amp2      ,P1             ,Phi1      ,Phi2      ,Trend               ,Quad                ,Offset    ,Scale     ,OffDrop   ,AmpInc    ,OffNSop   
fuv1=[ 0.22707  , 0.14684  ,  3.2668e+07   , 0.54780  , 1.24148  ,  2.800735346e-08   ,  5.683762413e-16   , -0.56694 ,   0.34551,   0.41116,   8.22225,  -0.01079]
fuv2=[ 0.28603  , 0.22800  ,  3.1707e+07   , 0.39094  , 0.90859  ,  2.794685978e-08   ,  4.140034088e-16   , -0.54858 ,   0.44940,   0.47180,   3.92417,  -0.10823]
fuv3=[ 1.69250  , 1.61177  ,  3.1601e+07   , 0.34173  , 0.88201  ,  2.956365015e-08   ,  1.190910843e-15   , -0.83945 ,   0.20869,   0.31969,   0.98873,  -0.28186]
fuv4=[ 0.32541  , 0.23522  ,  3.1952e+07   , 0.46758  , 0.99332  ,  1.755398918e-08   ,  9.853347041e-16   , -0.55978 ,   0.23864,   0.31355,   7.48350,  -0.11707]
nuv1=[ 0.59143  , 0.57055  ,  3.1607e+07   , 0.31535  , -0.10471 ,  4.799290036e-09   ,  1.926364681e-16   , -0.20611 ,   0.35688,   0.80588,   0.43661,   0.05054]
nuv2=[ 0.74602  , 0.69290  ,  3.1654e+07   , 0.32541  , 0.89458  ,  3.562004702e-09   ,  2.873002169e-16   , -0.23126 ,   0.12149,   0.36016,   0.55561,   0.34187]
nuv3=[ 0.27040  , 0.25127  ,  3.1521e+07   , 0.33561  , 0.88067  ,  9.557311968e-09   ,  3.497104177e-16   , -0.11008 ,   0.34741,   0.35288,   0.93257,  -0.24902]
nuv4=[ 0.46020  , 0.45435  ,  3.1635e+07   , 0.33972  , 0.90263  ,  8.605393340e-09   ,  3.306691135e-16   , -0.26891 ,   0.28835,   0.34102,   0.50576,  -0.09629]
