            Amp1      ,Amp2      ,P1             ,Phi1      ,Phi2      ,Trend               ,Quad                ,Offset    ,Scale     ,OffDrop   ,AmpInc    ,OffNSop   
fuv1=[ 0.26244  , 0.16109  ,  3.2873e+07   , 0.55960  , 1.28338  ,  2.748004649e-08   ,  5.840982348e-16   , -0.54571 ,   0.22323,   0.32658,   9.10225,   0.82550]
fuv2=[ 0.32575  , 0.24424  ,  3.1844e+07   , 0.40401  , 0.93822  ,  2.757119995e-08   ,  4.289777743e-16   , -0.53932 ,   0.31522,   0.32031,   4.55163,   0.54042]
fuv3=[ 1.70103  , 1.60666  ,  3.1649e+07   , 0.34289  , 0.88725  ,  2.845539550e-08   ,  1.223818183e-15   , -0.79518 ,   0.11199,   0.23410,   1.03606,   1.04800]
fuv4=[ 0.34983  , 0.24587  ,  3.2251e+07   , 0.48959  , 1.06327  ,  1.623374138e-08   ,  1.023282686e-15   , -0.50590 ,   0.12328,   0.24663,   8.94385,   1.10578]
nuv1=[ 0.59449  , 0.55921  ,  3.1606e+07   , 0.32087  , -0.10784 ,  4.733639728e-09   ,  2.076442977e-16   , -0.21192 ,   0.16822,   0.43609,   0.59798,   0.38409]
nuv2=[ 0.74602  , 0.69290  ,  3.1654e+07   , 0.32541  , 0.89458  ,  3.562004702e-09   ,  2.873002169e-16   , -0.23126 ,   0.12149,   0.36016,   0.55561,   0.34187]
nuv3=[ 0.27547  , 0.25241  ,  3.1629e+07   , 0.34174  , 0.89877  ,  9.522320999e-09   ,  3.622720648e-16   , -0.11272 ,   0.20883,   0.19869,   1.05649,   0.19740]
nuv4=[ 0.45783  , 0.45094  ,  3.1642e+07   , 0.33742  , 0.90405  ,  8.402348402e-09   ,  3.403314623e-16   , -0.25605 ,   0.20953,   0.23378,   0.53842,   0.14540]
