      Amp1      ,Amp2      ,P1             ,Phi1      ,Phi2      ,Trend               ,Quad                ,Offset    ,Scale     ,OffDrop   ,AmpInc    ,OffNSop   
fuv1=[ 0.24351  , 0.14832  ,  3.2876e+07   , 0.55954  , 1.28325  ,  2.747729876e-08   ,  5.840398308e-16   , -0.54576 ,   0.24415,   0.32661,   9.10134,   0.68792]
fuv2=[ 0.29960  , 0.22741  ,  3.1847e+07   , 0.40405  , 0.93813  ,  2.756844311e-08   ,  4.289348808e-16   , -0.53937 ,   0.33791,   0.32034,   4.55117,   0.45035]
fuv3=[ 1.70103  , 1.60666  ,  3.1649e+07   , 0.34289  , 0.88725  ,  2.845539550e-08   ,  1.223818183e-15   , -0.79518 ,   0.11199,   0.23410,   1.03606,   1.04800]
fuv4=[ 0.33779  , 0.23401  ,  3.2254e+07   , 0.48964  , 1.06316  ,  1.623211817e-08   ,  1.023180368e-15   , -0.50595 ,   0.13924,   0.24665,   8.94296,   0.89411]
nuv1=[ 0.59449  , 0.55921  ,  3.1606e+07   , 0.32087  , -0.10784 ,  4.733639728e-09   ,  2.076442977e-16   , -0.21192 ,   0.16822,   0.43609,   0.59798,   0.38409]
nuv2=[ 0.74602  , 0.69290  ,  3.1654e+07   , 0.32541  , 0.89458  ,  3.562004702e-09   ,  2.873002169e-16   , -0.23126 ,   0.12149,   0.36016,   0.55561,   0.34187]
nuv3=[ 0.27544  , 0.25018  ,  3.1632e+07   , 0.34171  , 0.89886  ,  9.521368862e-09   ,  3.622358412e-16   , -0.11273 ,   0.22100,   0.19871,   1.05638,   0.16450]
nuv4=[ 0.45783  , 0.45094  ,  3.1642e+07   , 0.33742  , 0.90405  ,  8.402348402e-09   ,  3.403314623e-16   , -0.25605 ,   0.20953,   0.23378,   0.53842,   0.14540]
